Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13,8.577767,8.691842,8.452687,8.545003,8.545003,684549128
2019-06-14,8.517904,8.581498,8.183278,8.540607,8.540607,670586439
2019-06-15,8.562080,8.729030,8.421159,8.601738,8.601738,620126945
2019-06-16,8.602382,8.922167,8.529251,8.691532,8.691532,848979266
2019-06-17,8.718682,8.886600,8.634715,8.808937,8.808937,507799796
2019-06-18,8.735346,8.838341,8.326705,8.428619,8.428619,622052949
2019-06-19,8.430418,8.654872,8.400313,8.538165,8.538165,590876270
2019-06-20,8.524764,8.608359,8.346766,8.496682,8.496682,587709880
2019-06-21,8.500907,8.802938,8.450854,8.720448,8.720448,815961668
2019-06-22,8.733558,9.289299,8.702677,9.144467,9.144467,1107874155
2019-06-23,9.141357,9.588547,9.057480,9.275910,9.275910,958883927
2019-06-24,9.278300,9.388220,8.968560,9.262026,9.262026,771250120
2019-06-25,9.268515,9.302018,9.051739,9.252131,9.252131,769322238
2019-06-26,9.248549,9.619809,8.849090,9.040408,9.040408,1216912857
2019-06-27,9.023746,9.105916,7.184254,7.652919,7.652919,1407240748
2019-06-28,7.667274,8.039865,7.550988,8.027226,8.027226,975712141
2019-06-29,8.028463,8.289608,7.623962,8.273986,8.273986,810346203
2019-06-30,8.270605,8.620325,7.725702,7.725702,7.725702,892040482
2019-07-01,7.712996,7.975324,7.332736,7.763763,7.763763,874437054
2019-07-02,7.761087,7.856891,7.323556,7.704988,7.704988,855230260
2019-07-03,7.705592,7.905545,7.654529,7.871174,7.871174,789429912
2019-07-04,7.843016,8.154468,7.721291,7.759289,7.759289,822719238
2019-07-05,7.751512,7.924030,7.618348,7.842920,7.842920,750356954
2019-07-06,7.844407,7.966962,7.744039,7.814190,7.814190,707657233
2019-07-07,7.813817,8.005628,7.738685,7.930763,7.930763,666411771
2019-07-08,7.968698,8.034909,7.879423,8.015713,8.015713,684112432
2019-07-09,8.022040,8.118221,7.807479,7.905540,7.905540,654848640
2019-07-10,7.900220,7.938823,7.024836,7.293155,7.293155,674630757
2019-07-11,7.295990,7.301917,6.331426,6.634420,6.634420,671496897
2019-07-12,6.638656,6.857577,6.557199,6.806734,6.806734,578739666
2019-07-13,6.808532,6.815874,6.445081,6.628458,6.628458,494753958
2019-07-14,6.637157,6.663124,5.661805,5.670497,5.670497,635115699
2019-07-15,5.676370,5.849194,5.220311,5.790145,5.790145,684348175
